Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public,SumaCluster
Sumas Public Library,Whatcom,Whatcom County Library System,Library,451 2nd St,Sumas,Washington,98295,US,48.99825601,-122.2597397,[+1] 360-988-2501,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Dayton Memorial Library,Clark,Columbia County Rural Library District,Library,111 S. 3rd Street,Dayton,Washington,99328,US,46.32096183,-117.9775053,[+1] 509-382-4131,http://www.ccrld.lib.wa.us,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Metrocenter YMCA,King,YMCA of Greater Seattle,Human Services/Non-profit (non-residential),909 4th Ave,Seattle,Washington,98104,US,47.60566811,-122.3325878,[+1] 206-839-8911,http://www.seattleymca.org/,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Low Income, Youth: Pre-teen, Youth: Teen",All Public,2
Edith Bishel Center for the Blind and Visually Impaired,Benton,Edith Bishel Center for the Blind and Visually Impaired,Human Services/Non-profit (non-residential),628 North Arthur Street,Kennewick,Washington,99336-2128,US,46.21662027,-119.1864086,[+1] 509-735-0699,http://edithbishelcenter.org,"English, Spanish",Computer,Blind/LV,"Adults, Disabled, Seniors",All Public,2
Harrah Library,Yakima,Yakima Valley Libraries,Library,21 E Pioneer St,Harrah,Washington,98933,US,46.40371241,-120.5439031,[+1] 509-848-3458,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,3
Moses Lake Community Library,Grant,North Central Regional Library,Library,418 E 5th Ave,Moses Lake,Washington,98837-1797,US,47.1305776,-119.2723333,[+1] 509-765-3489,http://www.ncrl.org/moseslake.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,3
Argonne Library,Spokane,Spokane County Library District,Library,4322 N Argonne Rd,Spokane,Washington,99212-1868,US,47.69624783,-117.2827866,[+1] 509-893-8260,http://www.scld.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,3
Kirkland Library,King,King County Library System,Library,308 Kirkland Ave,Kirkland,Washington,98033-6221,US,47.67557205,-122.2032231,[+1] 425-822-2459,http://www.kcls.org/kirkland/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,3
Carnation Library,King,King County Library System,Library,4804 Tolt Ave,Carnation,Washington,98014,US,47.65083206,-121.9122087,[+1] 425-333-4398,http://www.kcls.org/carnation/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,3
New Futures Arbor Heights,King,New Futures,Housing,135 SW 116th St,Burien,Washington,98146,US,47.46862,-122.34036,[+1] 206-244-0533,http://newfutures.org/our-programs/our-sites/arbor-heights/,"English, Spanish",Computer,None,On-site Residents,Limited Users,11
Ballard Library,King,Seattle Public Library,Library,5614 22nd Ave. N.W.,Seattle,Washington,98107,US,47.66967286,-122.3847215,[+1] 206-684-4089,http://www.spl.org/locations/ballard-branch/bal-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi","None, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Mill Creek Library,Snohomish,Sno-Isle Libraries,Library,15429 Bothell Everett Hwy,Mill Creek,Washington,98012-1212,US,47.85786499,-122.2187156,[+1] 425-337-4822,http://www.sno-isle.org,"English, Russian, Spanish, French, Ukranian, Hindi, Oriya, Punjabi","Computer, Wi-Fi, Adaptive Laptops","Deaf, Wheelchair accessible","Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Delridge Branch,King,Seattle Public Library,Library,5423 Delridge Way S.W.,Seattle,Washington,98106,US,47.55330557,-122.3630838,[+1] 206-733-9125,http://www.spl.org/locations/delridge-branch/dlr-computers-and-equipment,"English, Vietnamese, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Brewster Community Library,Okanogan,North Central Regional Library,Library,108 S Third,Brewster,Washington,98812-0280,US,48.09967,-119.78091,[+1] 509-689-4046,http://www.ncrl.org/brewster.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Skyway Library,King,King County Library System,Library,7614 South 126 St,Seattle,Washington,98178,US,47.49069878,-122.2376733,[+1] 206-772-5541,http://www.kcls.org/skyway/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Ocean Park Timberland Library,Pacific,Timberland Regional Library,Library,1308 256th Place,Ocean Park,Washington,98640-0310,US,46.48782384,-124.0516521,[+1] 360-665-4184,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Yakama Nation Library,Yakima,Yakama Nation,Library,Spiel-yi LoopP.O. Box 151,Toppenish,Washington,98948,US,46.37508,-120.31298,[+1] 509-865-2800,http://www.yakamamuseum.com/ynlibrary.php,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Yelm Timberland Library,Thurston,Timberland Regional Library,Library,210 Prarie Park St SE,Yelm,Washington,98597-7699,US,46.9392988,-122.5992236,[+1] 360-458-3374,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Garfield Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,2323 East Cherry St,Seattle,Washington,98122,US,47.60795153,-122.3024566,[+1] 206-684-4788,http://www.seattle.gov/parks/rectech/labs/garfield/,English,Wi-Fi,None,"Adults, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Leavenworth Community Library,Chelan,North Central Regional Library,Library,700 Hwy 2,Leavenworth,Washington,98826,US,47.59425016,-120.6652277,[+1] 509-548-7923,http://www.ncrl.org/leavenworth.htm,"English, Russian, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Tieton Library,Yakima,Yakima Valley Libraries,Library,418 Maple St,Tieton,Washington,98947,US,46.70233896,-120.7553308,[+1] 509-673-2621,http://www.yvl.org,"English, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
South Park Branch,King,Seattle Public Library,Library,8604 Eighth Ave. S.,Seattle,Washington,98108,US,47.52621301,-122.3228931,[+1] 206-615-1688,http://www.spl.org/locations/south-park-branch/spa-computers-and-equipment,"English, Spanish, Language Line Services",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
North Fork Public Library,Whatcom,Whatcom County Library System,Library,7506 Kendall Road,Maple Falls,Washington,98266,US,48.92369,-122.07728,[+1] 360-599-2020,http://www.wcls.org,English,Wi-Fi,None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Enumclaw Public Library,King,Enumclaw Public Library,Library,1700 1st St,Enumclaw,Washington,98022-3460,US,47.20361773,-121.9867332,[+1] 360-825-2938,http://www.enumclaw.lib.wa.us/,English,Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Soap Lake Community Library,Grant,North Central Regional Library,Library,32 E Main,Soap Lake,Washington,98851,US,47.38898,-119.48323,[+1] 509-246-1313,http://www.ncrl.org/soaplake.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,11
Boulevard Park Library,King,King County Library System,Library,12015 Roseberg Ave S,Seattle,Washington,98168-2358,US,47.49536626,-122.3075956,[+1] 206-242-8662,http://www.kcls.org/boulevardpark/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
West Seattle Branch,King,Seattle Public Library,Library,2306 42nd Ave. S.W.,Seattle,Washington,98116,US,47.5828613,-122.3850722,[+1] 206-684-7444,http://www.spl.org/locations/west-seattle-branch/wst-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Denny Ashby Library,Garfield,Denny Ashby Library,Library,856 Arlington St,Pomeroy,Washington,99347,US,46.47088134,-117.598928,[+1] 509-843-3710,http://www.pomeroy.lib.wa.us/,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
New Futures Woodridge Park,King,New Futures,Housing,12420 28th Ave S#29 & #30,Burien,Washington,98168,US,47.46862,-122.34036,[+1] 206-242-2207,http://newfutures.org/our-programs/our-sites/woodridge-park/,"English, Spanish",Computer,None,On-site Residents,Limited Users,1
White Swan Library,Yakima,Yakima Valley Libraries,Library,White Swan Library,White Swan,Washington,98952,US,46.38287,-120.73063,[+1] 509-874-2060,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Rainier Beach Branch,King,Seattle Public Library,Library,9125 Rainier Ave. S.,Seattle,Washington,98118,US,47.52152754,-122.2700309,[+1] 206-386-1906,http://www.spl.org/locations/rainier-beach-branch/rbe-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
San Juan Island Library District,San Juan,San Juan Island Library District,Library,1010 Guard St,Friday Harbor,Washington,98250-9240,US,48.53627755,-123.0303178,[+1] 360-378-2798,http://www.sjlib.org/,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Shoreline Library,King,King County Library System,Library,345 NE 175th St,Shoreline,Washington,98155-3517,US,47.75584074,-122.3259638,[+1] 206-362-7550,http://www.kcls.org/shoreline/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Beacon Hill Library,King,Seattle Public Library,Library,2821 Beacon Ave. S.,Seattle,Washington,98144,US,47.57817584,-122.3112199,[+1] 206-684-4711,http://www.spl.org/locations/beacon-hill-branch/bea-computers-and-equipment,"Chinese, English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Warden Community Library,Grant,North Central Regional Library,Library,205 S Main St,Warden,Washington,98857,US,46.96859985,-119.0406728,[+1] 509-349-2226,http://www.ncrl.org/warden.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Lopez Island Family Resource Center,San Juan,Lopez Island Family Resource Center,Human Services/Non-profit (non-residential),160 Village Road,Lopez Island,Washington,98261,US,48.52484717,-122.9120749,[+1] 360-468-4117,http://lifrc.org/,Spanish,Computer,None,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Clinton Library,Island,Sno-Isle Libraries,Library,4781 Deer Lake Rd,Clinton,Washington,98236-0530,US,47.97859897,-122.3580566,[+1] 360-341-4280,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Burlington Public Library,Skagit,Burlington Public Library,Library,820 E Washington Ave,Burlington,Washington,98233,US,48.47470097,-122.3239093,[+1] 360-755-0760,http://www.ci.burlington.wa.us/,"English, Spanish","Computer, Wi-Fi",None,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Richmond Beach Library,King,King County Library System,Library,19601 21 Ave NW,Shoreline,Washington,98177,US,47.77127133,-122.3842941,[+1] 206-546-3522,http://www.kcls.org/richmondbeach/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Burien Library,King,King County Library System,Library,400 SW 152 St,Burien,Washington,98166,US,47.46686675,-122.3393507,[+1] 206-243-3490,http://www.kcls.org/burien/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Seniors, Youth: Teen",All Public,1
Ferndale Public Library,Whatcom,Whatcom County Library System,Library,2222 Main St,Ferndale,Washington,98248,US,48.84842813,-122.602757,[+1] 360-384-3647,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Seattle Public Library (Central Branch),King,Seattle Public Library,Library,1000 Fourth Ave,Seattle,Washington,98104,US,47.6062167,-122.3329835,[+1] 206-386-4636,http://www.spl.org/locations/central-library/cen-computers-and-equipment,"Amharic, Chinese, English, Russian, Spanish, Vietnamese, Language Line Services","Computer, Wi-Fi","Blind/LV, Deaf, Wheelchair accessible","Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",All Public,1
Sequim Library,Clallam,North Olympic Library System,Library,630 N Sequim Ave,Sequim,Washington,98382-3148,US,48.08580715,-123.1022545,[+1] 360-683-1161,http://www.nols.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Amanda Park Timberland Library,Grays Harbor,Timberland Regional Library,Library,6188 US Hwy 101,Amanda Park,Washington,98526-0089,US,47.45804526,-123.904713,[+1] 360-288-2725,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,1
Madrona Branch,King,Seattle Public Library,Library,1134 33rd Ave.,Seattle,Washington,98122,US,47.61278175,-122.2903196,[+1] 206-684-4705,http://www.spl.org/locations/madrona-sally-goldmark-branch/mgm-computers-and-equ...,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Mount Vernon City Library,Skagit,Mount Vernon City Library,Library,315 Snoqualimie St,Mount Vernon,Washington,98273-4226,US,48.4157722,-122.3379865,[+1] 360-336-6209,http://www.ci.mount-vernon.wa.us/library,English,"Computer, Wi-Fi","Deaf, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Garfield Teen Life Center Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,428 23rd Ave,Seattle,Washington,98122,US,47.60543893,-122.3026492,[+1] 206-684-4550,http://www.seattle.gov/parks/rectech/labs/garfield_teen_life/,English,"Computer, Wi-Fi",None,Youth: Teen,All Public,2
South Hill Library,Pierce,Pierce County Library Sytem,Library,15420 Meridian E,South Hill,Washington,98388-5107,US,47.116366,-122.29407,[+1] 253-548-3303,http://www.piercecountylibrary.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Wapato Library,Yakima,Yakima Valley Libraries,Library,119 E 3rd St,Wapato,Washington,98951-1324,US,46.44597437,-120.4188215,[+1] 509-877-2882,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
La Casa Hogar,Yakima,La Casa Hogar,Human Services/Non-profit (non-residential)Faith-based,106 South 6th Street,Yakima,Washington,98901-2927,US,46.60227654,-120.4976471,[+1] 509-457-5058,http://www.lacasahogar.org/,"English, Spanish",Computer,,"Adults, Immigrants/Refugees",,2
Key Center Library,Pierce,Pierce County Library Sytem,Library,8905 Key Peninsula Hwy N,Lakebay,Washington,98349-9326,US,47.33882128,-122.7467615,[+1] 253-548-3309,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Crossroads Library Connection,King,King County Library System,Library,15600 NE 8th St,Bellevue,Washington,98008-3946,US,47.619674,-122.130339,[+1] 425-644-6203,http://www.kcls.org/crossroads/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Spokane South Hill Library,Spokane,Spokane Public Library,Library,524 S Stone St,Spokane,Washington,99202-4150,US,47.65144433,-117.3767459,[+1] 509-444-5386,http://www.spokanelibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Kalispel Tribe Camas Center for Community Wellness,Pend Oreille,Kalispel Tribe,Human Services/Non-profit (non-residential),1821 N LeClerc Road,Usk,Washington,99180,US,48.31365,-117.28072,[+1] 509-447-7139,http://www.kalispeltribe.com/wellness-center/,,Computer,None,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Graham Library,Pierce,Pierce County Library Sytem,Library,902 224th St E,Graham,Washington,98338,US,47.05576,-122.29477,[+1] 253-548-3325,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Renton Public Library,King,King County Library System,Library,100 Mill Ave S,Renton,Washington,98055-2126,US,47.48210261,-122.2029577,[+1] 425-430-6610,http://www.kcls.org/rentonhighlands/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Black Diamond Library,King,King County Library System,Library,24707 Roberts Drive,Black Diamond,Washington,98010,US,47.31209343,-122.0129777,[+1] 360-886-1105,http://www.kcls.org/blackdiamond/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Youth: Pre-teen, Youth: Teen",All Public,2
Buckley Library,Pierce,Pierce County Library Sytem,Library,123 S River Ave,Buckley,Washington,98321,US,47.16243725,-122.0295342,[+1] 253-548-3310,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Puyallup Public Library,Pierce,Puyallup Public Library,Library,324 South Meridian,Puyallup,Washington,98371,US,47.18993746,-122.2938082,[+1] 253-841-5454,http://www.cityofpuyallup.org/library/index.php,,"Computer, Wi-Fi","Deaf, Wheelchair accessible","Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Spokane Valley Library,Spokane,Spokane County Library District,Library,12004 E Main Ave,Spokane Valley,Washington,99206-5114,US,47.658872,-117.242497,[+1] 509-893-8400,http://www.scld.org,English,"Computer, Wi-Fi","Blind/LV, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
Granger Library,Yakima,Yakima Valley Libraries,Library,508 Sunnyside Ave,Granger,Washington,98932,US,46.3455169,-120.1900622,[+1] 509-854-1446,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,2
