NombreUnidad,direccion,entidad,municipio,telefono,correoelec,sitioweb,Latitude,Longitude,Sector,Inst,POBUSn,POBUSa,POBUSd,,SumaCluster,NivCuidad,ConDer,comollegar
CASA DE DESCANSO AMISTAD,"Calzada De Los Pirules 84, Int: NA, Colonia Ciudad Granja, C.P. 45010 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3336272005,casadeedescansoamistad@qyahoo.com.mx,www.casadedescansoamistad.com,20.68413982,-103.4471392,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.68413982,-103.4471392&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DE DESCANSO EL SEÑOR DE LA MISERICORDIA,"Calle Epigmenio Gonzalez 1325, Int: NA, Colonia Centro, C.P. 44180 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3333365425,,,20.66833891,-103.3554303,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.66833891,-103.3554303&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DEL ABUELO,"Calle Doctor Juan Jose Orozco 15, Int: NA, Colonia Union De San Antonio Centro, C.P. 47570 Unión de San Antonio, Jalisco",Jalisco,Unión de San Antonio,Tel. NA,casadelabuelousa@hotmail.com,,21.12758992,-102.0052697,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=21.12758992,-102.0052697&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ASOCIACION FEMENIL VALLARTENSE,"Privada San Blas 107, Int: NA, Colonia Niños Heroes, C.P. 49328 Puerto Vallarta, Jalisco",Jalisco,Puerto Vallarta,Tel. NA,asociacionfemenil@yahoo.com.mx,,20.63253087,-105.2193313,Sociedad civil,Sociedad civil,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.63253087,-105.2193313&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DIA EDAD DORADA,"Calle Alhambra 20, Int: NA, Colonia La Giralda, C.P. 49060 Zapotlán el Grande, Jalisco",Jalisco,Zapotlán el Grande,Tel. NA,,,19.70095531,-103.4532096,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.70095531,-103.4532096&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ALAMOR GRUO GERIATRICO,"Calle Juan Pablo 490, Int: NA, Colonia Jardines De Los Arcos, C.P. 44500 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3310211627,melisvid@hotmail.com,www.alamor.com,20.6708271,-103.3960298,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.6708271,-103.3960298&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO DE FORMACION PARA ESPECIALISTAS EN ATENCION A PERSONAS DE LA TERCERA EDAD MADRE TERESA DE CALCUTA AC.,"Avenida Moctezuma 4546, Int: NA, Colonia Mirador Del Sol, C.P. 45054 Zapopan, Jalisco",Jalisco,Zapopan,Tel. NA,contacto@plenituddevida.org.mx,www.plenituddevida.org.mx,20.6506202,-103.4158413,Sociedad civil,Sociedad civil,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.6506202,-103.4158413&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DE DIA DEL ADULTO MAUOR,"Calle Milenium 143, Int: NA, Colonia La Aurora, C.P. 48338 Puerto Vallarta, Jalisco",Jalisco,Puerto Vallarta,Tel. NA,,,20.65677215,-105.236937,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.65677215,-105.236937&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO DE CONVIVENCIA Y ALIMENTACION PARA ADULTOS MAYORES Y GRUPOS PRIORITARIOS,"Calle Juarez 60, Int: NA, Colonia Tonaya, C.P. 48760 Tonaya, Jalisco",Jalisco,Tonaya,Tel. NA,,,19.78271523,-103.9729164,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.78271523,-103.9729164&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO TAPATIO DEL ADULTO MAYOR,"Avenida Patria 3116, Int: NA, Colonia Jardines Del Sauz, C.P. 44987 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,administracionsauz@difgdl.gob.mx,,20.62852428,-103.3970587,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.62852428,-103.3970587&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ASOCIACION DE DISCAPACITADO,"Calle Luis Echeverria 2607, Int: NA, Colonia Jardines Tapatios, C.P. 45065 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3323190237,,,20.63959141,-103.4686066,Sociedad civil,Sociedad civil,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.63959141,-103.4686066&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DE LABOR SOCIAL SIN LUCRO,"Calle Popocatepetl 160, Int: NA, Colonia Ciudad Del Sol, C.P. 45050 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3310440575,casa.caleidoscopio.a.c.17@gmail.com,,20.65775383,-103.4030564,Sociedad civil,Sociedad civil,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.65775383,-103.4030564&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DEL ADULTO MAYOR,"Calle Morelos 22, Int: NA, Barrio El Centro, C.P. 49340 Tapalpa, Jalisco",Jalisco,Tapalpa,Tel. NA,,,19.94480736,-103.757112,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.94480736,-103.757112&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DE DESCANSO SUN HAVEN,"Avenida Niño Obrero 592, Int: NA, Colonia Chapalita Sur, C.P. 45050 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3339683999,atardecerdigno@gmail.com,www.sunhaven.com.mx,20.65857976,-103.4054036,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.65857976,-103.4054036&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
AULA DE LA TERCERA EDAD,"Calle Allende 0, Int: NA, Colonia Centro, C.P. 47540 Ojuelos de Jalisco, Jalisco",Jalisco,Ojuelos de Jalisco,Tel. NA,,,21.8635479,-101.592107,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=21.8635479,-101.592107&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DEL ADULTO MAYOR,"Calle Matamoros 36, Int: NA, Pueblo Huejuquilla, C.P. 46000 Huejuquilla el Alto, Jalisco",Jalisco,Huejuquilla el Alto,Tel. NA,,,22.62860424,-103.8968315,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=22.62860424,-103.8968315&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO DE DIA UNIÓN Y FUERZA. ATENCION A ADULTOS MAYORES,"Calle Juan De La Barrera 7, Int: NA, Colonia Colonia De Los Maestros, C.P. 45470 Acatic, Jalisco",Jalisco,Acatic,Tel. NA,,,20.78038003,-102.9037537,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.78038003,-102.9037537&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO DE DIA PARA EL ADULTO MAYOR TIJELINO,"Calle Calle Del Hueso 164, Int: NA, Colonia Las Tres Folres, C.P. 45430 Zapotlanejo, Jalisco",Jalisco,Zapotlanejo,Tel. 377000000000,,,20.62385576,-103.0743134,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.62385576,-103.0743134&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DE LA TERCERA EDAD,"Calle Jose Maria Morelos Y Pavon 0, Int: NA, Localidad El Aguacate, C.P. 48990 Cihuatlán, Jalisco",Jalisco,Cihuatlán,Tel. NA,,,19.22699109,-104.6424579,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.22699109,-104.6424579&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DIA DIF,"Privada Agustin Yañez NA, Int: NA, Colonia Patria, C.P. 45950 Poncitlán, Jalisco",Jalisco,Poncitlán,Tel. NA,,,20.38195904,-102.9361446,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.38195904,-102.9361446&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DE DIA,"Calle Magisterial 16, Int: NA, Colonia Nejayote, C.P. 45850 Ixtlahuacán de los Membrillos, Jalisco",Jalisco,Ixtlahuacán de los Membrillos,Tel. NA,,,20.35190191,-103.1986177,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.35190191,-103.1986177&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DEL DIA,"Calle Dario Romero Leon 25, Int: NA, Barrio La Hermita, C.P. 48400 Cabo Corrientes, Jalisco",Jalisco,Cabo Corrientes,Tel. NA,,,20.31774587,-105.3181945,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.31774587,-105.3181945&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ASOCIACION ANGEL,"Calle Zapotlanejo 109, Int: NA, Colonia Col-Jalisco, C.P. 45412 Tonalá, Jalisco",Jalisco,Tonalá,Tel. NA,,,20.67848548,-103.2579817,Sociedad civil,Sociedad civil,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.67848548,-103.2579817&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DE DIA PARA ADULTOS MAYORES DIF GUADALAJARA,"Calle 3 (Ramon Alcorta) 0, Int: NA, Colonia Lomas De Polanco, C.P. 44960 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.63119406,-103.3723055,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.63119406,-103.3723055&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CASA DE DESCANSO LUZ DE INVIERNO,"Calle Monte De Las Animas 730, Int: NA, Colonia El Retiro, C.P. 44280 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3336172551,,,20.68679832,-103.336409,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.68679832,-103.336409&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
GRUPO DEL ADULTO MAYOR,"Avenida San Blas NA, Int: NA, Colonia La Llave, C.P. 45615 San Pedro Tlaquepaque, Jalisco",Jalisco,San Pedro Tlaquepaque,Tel. 3334073255,,,20.56695279,-103.3412366,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.56695279,-103.3412366&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
TERCERA SONRISA GDL,"Calzada Juan Pablo Ii 1916, Int: NA, Colonia Oblatos, C.P. 44700 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.69397162,-103.305189,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.69397162,-103.305189&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PROGRAMA BIENESTAR,"Calle Mariano Barcenas 64, Int: NA, Colonia Centro, C.P. 48900 Autlán de Navarro, Jalisco",Jalisco,Autlán de Navarro,Tel. NA,,,19.77033327,-104.3629207,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.77033327,-104.3629207&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
DIF MATANCILLAS,"Calle Miguel Aleman NA, Int: NA, Colonia Matancillas, C.P. 47540 Ojuelos de Jalisco, Jalisco",Jalisco,Ojuelos de Jalisco,Tel. NA,,,21.89080294,-101.6493685,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=21.89080294,-101.6493685&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PROGRAMA DE ATENCION INTEGRAL A LA DISPACIDAD,"Calle Islas Malvinas NA, Int: NA, Colonia Jardines Del Sauz, C.P. 44987 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,enlace@difgdl.gob.mx,,20.62901845,-103.3959643,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.62901845,-103.3959643&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PROGRAMA DEL ADULTO MAYOR,"Avenida Patria 3116, Int: NA, Colonia Jardines Del Sauz, C.P. 44987 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,daiam@difgdl.go.mx,,20.62852428,-103.3970587,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.62852428,-103.3970587&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
MI PEQUEÑO ESPECIAL,"Calle Santa Monica 622, Int: NA, Colonia El Santuario, C.P. 44200 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3314647426,vero.vazagu.13@gmail.com,www.mipequenoespecial.org.mx,20.68593997,-103.3494314,Sociedad civil,Sociedad civil,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.68593997,-103.3494314&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
DIF ETERNA JUVENTUD,"Calle Javier Mina 0, Int: NA, Colonia Independencia, C.P. 48290 Puerto Vallarta, Jalisco",Jalisco,Puerto Vallarta,Tel. 2259936,,,20.64573987,-105.2098049,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.64573987,-105.2098049&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
INTEGRAME A LA SOCIEDAD AC,"Calle Jose Diaz Carrillo 9, Int: NA, Colonia La Purisima, C.P. 49900 Tecalitlán, Jalisco",Jalisco,Tecalitlán,Tel. NA,,,19.47086271,-103.3031318,Sociedad civil,Sociedad civil,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.47086271,-103.3031318&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
VENTANILLA DE ATENCION AL ADULTO MAYOR,"Privada Efrain Gonzalez Luna 0, Int: NA, Colonia Arandas Centro, C.P. 47180 Arandas, Jalisco",Jalisco,Arandas,Tel. NA,,,20.70431726,-102.3564488,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.70431726,-102.3564488&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
SISTEMA PARA EL DESAROLLO INTEGRAL DE LA FAMILIA DEL MUNICIPIO DE TAPALPA,"Calle Miguel Hidalgo 144, Int: NA, Barrio Centro, C.P. 49340 Tapalpa, Jalisco",Jalisco,Tapalpa,Tel. NA,,,19.94624234,-103.7587514,Pública,Pública,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.94624234,-103.7587514&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
DIF SANTA CRUZ SISTEMA INTEGRAL PARA EL DESARROLLO DE LA FAMILIA,"Calle Hidalgo 250, Int: NA, Colonia Santa Cruz Del Astillero, C.P. 45360 El Arenal, Jalisco",Jalisco,El Arenal,Tel. NA,difarenal2018.2021@gmail.com,,20.74523896,-103.6430412,Pública,DIF,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.74523896,-103.6430412&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
GUARDERIA CRESIENDO JUNTOS,"Calle Matamoros 27, Int: NA, Colonia La Cienega, C.P. 45640 Tlajomulco de Zúñiga, Jalisco",Jalisco,Tlajomulco de Zúñiga,Tel. NA,,,20.54367756,-103.4649153,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.54367756,-103.4649153&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESTANCIA DE DIA VILLA PLATA,"Calle Joaquin Angulo 2605, Int: NA, Colonia Circunvalacion Providencia, C.P. 44680 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3312298570,administacion@clubvillaplata.mx,www.clubvillaplata.mx,20.68251099,-103.3832613,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.68251099,-103.3832613&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESTANCIA PEDRE BERNAL,"Calle Agricola 551, Int: NA, Colonia Arroyo Seco, C.P. 45090 San Pedro Tlaquepaque, Jalisco",Jalisco,San Pedro Tlaquepaque,Tel. 3336940623,,,20.59736802,-103.4081066,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.59736802,-103.4081066&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
VILLA SANTA ANITA,"Calle Francisco I. Madero 453, Int: NA, Colonia Santa Anita, C.P. 45600 San Pedro Tlaquepaque, Jalisco",Jalisco,San Pedro Tlaquepaque,Tel. NA,villasantaanita@hotmail.com,www.villasantaanita.com,20.54969855,-103.4491139,Privada,Privada,,Personas mayores,Personas con discapacidad,,10,Cuidado directo,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.54969855,-103.4491139&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO DE ATENCION MULTIPLE NUNUTZI KIE TURNO VESPERTINO,"Calle Alcazar 399, Int: NA, Colonia Jardines Alcalde, C.P. 44298 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.70217412,-103.3365041,Pública,Pública,Infancia,,Personas con discapacidad,,9,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.70217412,-103.3365041&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CAM JOAQUIN BAEZA ALCAZAR,"Calle Brasil 195, Int: NA, Fraccionamiento Hacienda Santa Fe, C.P. 45655 Tlajomulco de Zúñiga, Jalisco",Jalisco,Tlajomulco de Zúñiga,Tel. NA,cam_joaquinbaeza_tm@hotmail.com,,20.51206445,-103.3730234,Pública,Pública,Infancia,,Personas con discapacidad,,9,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.51206445,-103.3730234&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CAM ROSARIO CASTELLANOS,"Calle Degollado Oriente 43, Int: NA, Colonia Fracc Las Flores, C.P. 45640 Tlajomulco de Zúñiga, Jalisco",Jalisco,Tlajomulco de Zúñiga,Tel. NA,,,20.47715866,-103.4439582,Pública,Pública,Infancia,,Personas con discapacidad,,9,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.47715866,-103.4439582&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO DE EDUCACION ESPECIAL 33 GUADALUPE HIDOLINA GAONA RUIZ,"Avenida Avenida De Los Maestros 2, Int: NA, Barrio Tepetates, C.P. 48600 Juchitlán, Jalisco",Jalisco,Juchitlán,Tel. 3493740687,cam_n33@live.com.mx,,20.08826431,-104.0950492,Pública,Pública,Infancia,,Personas con discapacidad,,9,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.08826431,-104.0950492&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CAM ARNOLD GESSELL,"Calle Aldama 0, Int: NA, Colonia Juarez, C.P. 49600 Zapotiltic, Jalisco",Jalisco,Zapotiltic,Tel. NA,,,19.6250049,-103.4259851,Pública,Pública,Infancia,,Personas con discapacidad,,9,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.6250049,-103.4259851&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO DE ATENCION MULTIPLE JOSE VASCONCELOS 14DML0055L T M,"Boulevard La Carreta 662, Int: NA, Parque Industrial Belenes Norte, C.P. 45150 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3336339809,canjv2011@hotmail.com,,20.73600596,-103.396202,Pública,SEP,Infancia,,Personas con discapacidad,,9,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.73600596,-103.396202&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
